,id,latitude,longitude,zipcode
0,5570,32.78481,-117.25313,92109
1,29967,32.80751,-117.2576,92109
2,38245,32.74217,-117.21931,92106
3,54001,32.81301,-117.26856,92037
4,62274,32.80583,-117.24244,92109
5,62949,32.80885,-117.23043,92109
6,67441,32.76347,-117.07753,92115
7,75668,32.74699,-117.14243,92104
8,77785,32.74827,-117.19059,92110
9,79300,32.74715,-117.1428,92104
10,103417,32.81321,-117.26853,92037
11,103720,32.74779,-117.1648,92103
12,108349,32.79783,-117.25416,92109
13,126344,32.80751,-117.25728,92109
14,132966,32.80934,-117.25913,92109
15,149548,32.79993,-117.20067,92117
16,165967,32.75314,-117.15142,92103
17,167022,32.79644,-117.23409,92109
18,167760,32.91216,-117.12881,92126
19,167804,32.80135,-117.20282,92117
20,168415,32.78175,-117.16045,92123
21,170421,32.91068,-117.13051,Unknown
22,171212,32.94568,-117.23229,92130
23,172519,32.73936,-117.21747,92106
24,175119,32.76687,-117.09017,92115
25,176588,32.77361,-117.2004,92110
26,182428,32.76411,-117.25139,92109
27,184238,32.74109,-117.24503,92107
28,189785,32.81041,-117.26637,92037
29,190225,32.84006,-117.26922,92037
30,211583,32.76757,-117.25103,92109
31,213653,32.92565,-117.24847,92014
32,241210,32.75819,-117.13749,92116
33,246264,32.79579,-117.17383,92111
34,252289,32.75259,-117.17599,92103
35,269843,32.78175,-117.16045,92123
36,273134,32.78175,-117.16045,92123
37,278138,32.90738,-117.08818,92131
38,278158,32.90847,-117.08776,92131
39,279012,32.73183,-117.2427,92107
40,281817,32.72836,-117.12349,92104
41,289088,32.74277,-117.17735,92103
42,292285,32.75031,-117.23056,92107
43,293609,32.75906,-117.14445,92116
44,299720,32.73464,-117.16452,92103
45,331892,32.74957,-117.16708,92103
46,343495,32.75152,-117.24682,92107
47,359971,32.75568,-117.14679,92163
48,366811,32.81801,-117.16826,92111
49,385760,32.75711,-117.22541,921009
50,393042,32.74036,-117.21963,92106
51,394524,32.80135,-117.25774,92109
52,396390,32.74359,-117.17584,92103
53,401431,32.75103,-117.24745,92107
54,410726,32.83452,-117.27772,92037
55,426121,32.74271,-117.1773,92103
56,438786,32.74966,-117.14462,92104
57,443994,32.80279,-117.18976,92111
58,466663,32.72699,-117.16578,92101
59,468475,32.72857,-117.16604,92101
60,470519,32.72796,-117.1657,92101
61,470520,32.72839,-117.16589,92101
62,472433,32.82787,-117.27975,92037
63,474236,32.79632,-117.03466,92119
64,483463,32.75748,-117.12138,92116
65,483688,32.76597,-117.19067,92110
66,500915,32.7264,-117.12624,92102
67,506774,32.71941,-117.129,92102
68,519849,32.78917,-117.23352,92109
69,522108,32.71905,-117.12887,92102
70,528113,32.73608,-117.16177,92103
71,531406,32.83277,-117.25975,92037
72,531591,32.75238,-117.14018,92104
73,560227,32.7873,-117.25408,92109
74,561997,32.80576,-117.1955,92117
75,563806,32.77816,-117.25234,92109
76,571822,32.81561,-117.26318,92037
77,576112,32.80451,-117.25308,92109
78,585426,32.76731,-117.125,92116
79,585469,32.72963,-117.12269,92104
80,587471,32.73408,-117.25157,92107
81,589214,32.72781,-117.16383,92101
82,589254,32.74217,-117.16377,92103
83,591575,32.82898,-117.27846,92037
84,597609,32.82901,-117.27849,92037
85,599607,32.74259,-117.17566,92103
86,602985,32.74566,-117.24986,92107
87,604169,32.71937,-117.22115,92147
88,606508,32.71816,-117.15442,92101
89,610920,32.81244,-117.26835,92037
90,611250,32.72784,-117.16398,92101
91,616718,32.72636,-117.16461,92101
92,631271,32.71553,-117.15377,92101
93,637308,32.83984,-117.26885,92037
94,651542,32.74323,-117.17623,92103
95,655822,32.9524,-117.11426,92129
96,657051,32.72266,-117.12402,92102
97,670830,32.72632,-117.16597,92101
98,674234,32.76103,-117.16063,92108
99,691132,32.80756,-117.25728,92109
100,691897,32.71937,-117.22115,92147
101,693579,32.7159,-117.14481,92134
102,708473,32.73861,-117.24805,92107
103,723387,32.79429,-117.24269,92109
104,741131,32.79647,-117.17435,92111
105,743453,32.81007,-117.18615,92111
106,747354,32.75668,-117.17011,92103
107,752725,32.74411,-117.13947,92104
108,756856,32.7256,-117.25183,92107
109,756982,32.84279,-117.27129,92037
110,768093,32.80769,-117.24242,92109
111,778962,32.7505,-117.14171,92104
112,789549,32.70918,-117.15443,92101
113,797668,32.75994,-117.2489,92017
114,803261,32.86913,-117.2192,92122
115,810931,32.71724,-117.15306,92134
116,815244,32.79545,-117.23483,92109
117,816942,32.78608,-117.10822,92108
118,821576,32.80691,-117.25604,92109
119,821991,32.74474,-117.13012,92104
120,868988,32.76817,-117.24933,92109
121,873742,32.72521,-117.1274,92102
122,885550,32.78346,-117.10798,92108
123,886970,32.96419,-117.12139,92129
124,887573,32.79113,-117.23302,92109
125,888310,32.72904,-117.16486,92101
126,906070,32.94909,-117.23244,92014
127,908300,32.70683,-117.14059,92102
128,908965,32.78673,-117.25305,92109
129,914317,32.75117,-117.25125,92107
130,918743,32.76313,-117.0798,92115
131,925146,32.82857,-117.27858,92037
132,925170,32.82714,-117.27705,92037
133,937720,32.72853,-117.13283,92104
134,942915,32.79906,-117.25752,92109
135,960642,32.70962,-117.15445,92101
136,961307,32.76346,-117.07585,92115
137,962857,32.70775,-117.16069,92101
138,964412,32.79923,-117.25734,92109
139,977879,32.80074,-117.25908,92109
140,977917,32.8009,-117.25708,92109
141,977935,32.79963,-117.25728,92109
142,977954,32.80122,-117.25934,92109
143,977963,32.80108,-117.2589,92109
144,977985,32.79835,-117.25596,92109
145,978168,32.79644,-117.25628,92109
146,978187,32.79619,-117.25586,92109
147,978199,32.79824,-117.25601,92109
148,978206,32.79911,-117.25718,92109
149,978275,32.79943,-117.25704,92109
150,978319,32.80078,-117.25895,92109
151,978349,32.80114,-117.25841,92109
152,978368,32.80111,-117.25744,92109
153,980232,32.8009,-117.25871,92109
154,980392,32.80119,-117.25896,92109
155,980406,32.79901,-117.25725,92109
156,980434,32.79924,-117.25705,92109
157,990185,32.91983,-117.14921,92126
158,998231,32.7813,-117.18205,92111
159,1000522,32.71937,-117.22115,92147
160,1001069,32.72142,-117.16605,92101
161,1003174,32.72829,-117.13077,92104
162,1006312,32.81988,-117.22895,92037
163,1034805,32.80629,-117.24603,92109
164,1037247,32.82882,-117.27689,92037
165,1063149,32.75169,-117.13169,92104
166,1072842,32.72254,-117.12924,92102
167,1080319,32.76117,-117.24918,92109
168,1080326,32.76047,-117.24995,92109
169,1080335,32.76104,-117.2495,92109
170,1083576,32.74577,-117.13193,92104
171,1083946,32.71703,-117.15313,92134
172,1101470,32.71847,-117.14397,92134
173,1108080,32.74355,-117.13709,92104
174,1109171,32.74672,-117.12161,92104
175,1115516,32.80746,-117.23471,92109
176,1127311,32.71798,-117.13071,92102
177,1133487,32.75296,-117.24718,92107
178,1163324,32.82392,-117.19548,92117
179,1171359,32.75086,-117.25112,92107
180,1180719,32.79908,-117.25619,92109
181,1183323,32.783859,-117.252075,92109
182,1197919,32.74429,-117.12451,92104
183,1198495,32.84386,-117.27335,92037
184,1200632,32.84941,-117.24859,92037
185,1206065,32.7666,-117.25187,92109
186,1210797,32.86039,-117.25262,92037
187,1233047,32.72637,-117.23791,92106
188,1246698,32.72632,-117.12641,92102
189,1252651,32.74276,-117.25235,92107
190,1255655,32.77351,-117.14657,92108
191,1260804,32.73176,-117.1679,92101
192,1284694,32.71084,-117.14251,92102
193,1285153,32.72383,-117.16552,92101
194,1286742,32.76751,-117.25213,92109
195,1288433,32.74113,-117.17391,92103
196,1301778,32.74829,-117.2517,92107
197,1309621,32.76744,-117.25172,92109
198,1316496,32.80727,-117.25695,92109
199,1335408,32.74008,-117.12451,92104
200,1339446,32.74874,-117.14694,92103
201,1346986,32.84688,-117.21555,92122
202,1364898,32.93489,-117.13761,92126
203,1374898,32.7631,-117.14528,92116
204,1378432,32.72676,-117.16562,92101
205,1388706,32.93485,-117.25528,92014
206,1393531,32.7521,-117.2501,92107
207,1393792,32.63544,-116.98259,91913
208,1399003,32.72021,-117.16694,92101
209,1402502,32.79729,-117.25606,92109
210,1404080,32.72841,-117.09147,92105
211,1417446,32.74205,-117.14027,92104
212,1438332,32.63461,-116.98408,91913
213,1445441,32.76202,-117.25154,92109
214,1456924,32.7668,-117.2513,92109
215,1471989,32.78725,-117.19874,92110
216,1479166,32.75159,-117.25048,92107
217,1482943,32.73037,-117.16279,92101
218,1484257,32.80003,-117.2366,92109
219,1487384,32.82294,-117.23845,92037
220,1493005,32.7072,-117.14632,92102
221,1507011,32.75722,-117.1492,92103
222,1508327,32.78531,-117.25386,92109
223,1511791,32.78574,-117.254,92109
224,1511818,32.78568,-117.25392,92109
225,1526733,32.76029,-117.14143,92116
226,1552090,32.77189,-117.05322,92115
227,1570908,32.79125,-117.20184,92117
228,1573662,32.74461,-117.17871,92103
229,1576848,32.83825,-117.19443,92117
230,1577427,32.8366,-117.19631,92117
231,1579303,32.76264,-117.25021,92109
232,1588930,32.76104,-117.14964,92116
233,1589977,32.82229,-117.2676,92037
234,1602553,32.71139,-117.14231,92102
235,1630071,32.74914,-117.11334,92105
236,1632229,32.78433,-117.25137,92109
237,1632472,32.74655,-117.11584,92104
238,1646885,32.74141,-117.17774,92103
239,1650100,32.77275,-117.2508,92109
240,1669816,32.74342,-117.24162,92107
241,1671814,32.71914,-117.15409,92101
242,1671943,32.71914,-117.15409,92101
243,1672059,32.80348,-117.23679,92109
244,1678113,32.77774,-117.16903,92111
245,1687571,32.72111,-117.12341,92102
246,1696519,32.80259,-117.24146,92109
247,1707839,32.77018,-117.10637,92116
248,1712953,32.78531,-117.25401,92109
249,1713214,32.78524,-117.25375,92109
250,1713841,32.80862,-117.15669,92111
251,1717642,32.74064,-117.17361,92103
252,1725503,32.7441,-117.14994,92103
253,1728300,32.77265,-117.25075,92109
254,1731316,32.74226,-117.17433,92103
255,1742509,32.76416,-117.2515,92109
256,1742633,32.76416,-117.2515,92109
257,1743101,32.71276,-117.14387,92102
258,1746543,32.74027,-117.12716,92104
259,1746666,32.74043,-117.12706,92104
260,1750470,32.74054,-117.1274,92104
261,1751176,32.74086,-117.12829,92104
262,1751254,32.74051,-117.12782,92104
263,1752549,32.75133,-117.24466,92107
264,1752551,32.75008,-117.24284,92107
265,1758781,32.76772,-117.25286,92017
266,1762939,32.86907,-117.22777,92122
267,1785920,32.75649,-117.18874,92103
268,1792566,32.74056,-117.25191,92107
269,1798441,32.94528,-117.11234,92129
270,1811134,32.7677,-117.25116,92109
271,1811602,32.78522,-117.25389,92109
272,1814841,32.80003,-117.2366,92109
273,1815604,32.80423,-117.23939,92109
274,1815898,32.79735,-117.18969,92110
275,1831431,32.73898,-117.12886,92104
276,1851985,32.73481,-117.24957,92107
277,1854742,32.94966,-117.1014,92128
278,1868816,32.80175,-117.25532,92109
279,1873103,32.78052,-117.25318,92109
280,1873431,32.76193,-117.15968,92108
281,1875036,32.76175,-117.15862,92108
282,1891351,32.7451,-117.15332,92103
283,1891783,32.75618,-117.13058,92116
284,1892515,32.8093,-117.25843,92109
285,1897819,32.76416,-117.2515,92109
286,1897822,32.80003,-117.2366,92109
287,1898027,32.78574,-117.25386,92109
288,1906699,32.87119,-117.20409,92122
289,1909693,32.7174,-117.16901,92101
290,1917510,32.72614,-117.16853,92101
291,1931512,32.75871,-117.07778,92115
292,1950115,32.76325,-117.0769,92115
293,1956508,32.75358,-117.24973,92107
294,1957356,32.90486,-117.13717,92126
295,1960851,32.78159,-117.25227,92109
296,1970250,32.80741,-117.25703,92109
297,1970541,32.79151,-117.20133,92117
298,1980637,32.71632,-117.16166,92101
299,1984267,32.80291,-117.24146,92109
300,1987740,32.78371,-117.15913,92123
301,2005108,32.76491,-117.14072,92116
302,2012228,32.8381,-117.19477,92117
303,2020499,32.82037,-117.21092,92117
304,2023443,32.90408,-117.13874,92126
305,2043138,32.79872,-117.2573,92109
306,2055118,32.71204,-117.166924,92101
307,2057123,32.76622,-117.18934,92110
308,2083989,32.74974,-117.2416,92107
309,2088659,32.7652,-117.25172,92109
310,2092631,32.72905,-117.1613,92101
311,2094193,32.84051,-117.25937,92037
312,2111974,32.74719,-117.13262,92104
313,2122584,32.81849,-117.21729,92117
314,2130260,32.82719,-117.27471,92037
315,2145806,32.72298,-117.12749,92102
316,2150364,32.77819,-117.2532,92109
317,2150980,32.78766,-117.25299,92109
318,2150987,32.765,-117.11758,92116
319,2151531,32.77813,-117.2532,92109
320,2153431,32.76582,-117.25129,92109
321,2153882,32.76335,-117.25159,92109
322,2164379,32.76512,-117.13188,92116
323,2197304,32.75785,-117.11971,92116
324,2214453,32.76636,-117.25105,92109
325,2221674,32.74362,-117.2359,92107
326,2222269,32.58179,-117.03184,92154
327,2222902,32.78391,-117.25155,92109
328,2223857,32.78391,-117.25155,92109
329,2223910,32.79045,-117.23346,92109
330,2228529,32.71778,-117.14451,92102
331,2234293,32.90451,-117.13848,92126
332,2243256,32.72773,-117.13541,92101
333,2262132,32.76011,-117.2496,92109
334,2267232,32.76011,-117.2496,92109
335,2267425,32.76072,-117.24878,92017
336,2283584,32.74389,-117.12672,92104
337,2297522,32.76422,-117.25216,92109
338,2298279,32.76422,-117.25216,92109
339,2303470,32.76594,-117.09395,9120
340,2309481,32.74411,-117.24289,92107
341,2310874,32.76608,-117.25024,92109
342,2320541,32.79896,-117.13364,92123
343,2326348,32.78394,-117.25158,92109
344,2343071,32.75448,-117.13933,92104
345,2360713,32.87453,-117.21928,92039
346,2362084,32.78945,-117.2531,92109
347,2368033,32.82905,-117.19261,92117
348,2378206,32.75069,-117.1185,92104
349,2385601,32.7771,-117.25179,92109
350,2395974,32.78168,-117.25132,92109
351,2396129,32.78156,-117.25123,92109
352,2396438,32.78201,-117.25134,92109
353,2396477,32.78139,-117.25212,92109
354,2396517,32.78258,-117.25134,92109
355,2396568,32.78391,-117.25155,92109
356,2418835,32.78391,-117.25155,92109
357,2425702,32.71705,-117.14244,92102
358,2437027,32.80893,-117.25787,92109
359,2441106,32.79088,-117.24328,92109
360,2463167,32.75301,-117.14232,92104
361,2464739,32.75057,-117.25004,92107
362,2477615,32.78664,-117.239845,92109
363,2479263,32.72281,-117.1677,92101
364,2483060,32.72389,-117.16594,92101
365,2493673,32.77443,-117.25056,92109
366,2493692,32.78412,-117.25174,92109
367,2494569,32.77305,-117.2504,92109
368,2495375,32.7748,-117.2525,92109
369,2495693,32.7748,-117.2524,92109
370,2508568,32.763119,-117.250954,92109
371,2528690,32.76339,-117.09284,92115
372,2546692,32.73884,-117.1271,92104
373,2551607,32.79674,-117.23085,92109
374,2557750,32.70904,-117.16071,92101
375,2575335,32.83004,-117.26658,92037
376,2577880,32.84657,-117.25822,92037
377,2582718,32.7676,-117.25137,92109
378,2593335,32.82803,-117.26566,92037
379,2598921,32.70948,-117.15443,92101
380,2606578,32.74547,-117.13853,92104
381,2607752,32.75295,-117.17132,92103
382,2620322,32.76181,-117.24737,92017
383,2633036,32.7585,-117.06831,92115
384,2636301,32.75524,-117.15737,92103
385,2664145,32.77631,-117.25298,92017
386,2679898,32.78574,-117.25231,92109
387,2683657,32.72804,-117.16506,92101
388,2686765,32.75961,-117.07068,92115
389,2693032,32.78574,-117.25231,92109
390,2694364,32.80392,-117.25783,92109
391,2695376,32.7447,-117.24796,92107
392,2695464,32.70942,-117.16031,92101
393,2695883,32.78574,-117.25231,92109
394,2695962,32.78573,-117.2526,92109
395,2703885,32.79063,-117.24229,92109
396,2730356,32.79449,-117.12947,92123
397,2747722,32.78291,-117.25227,92109
398,2763850,32.75284,-117.22798,92110
399,2771788,32.75693,-117.12949,92104
400,2801479,33.0215,-117.06887,92128
401,2842251,32.76207,-117.09376,92115
402,2872652,32.74264,-117.17747,92103
403,2877472,32.78432,-117.25132,92109
404,2886898,32.70822,-117.14661,92102
405,2908382,32.74824,-117.16465,92103
406,2910056,32.74353,-117.2497,92107
407,2927366,32.72489,-117.13193,92102
408,2929077,32.71014,-117.15819,92101
409,2934995,32.77305,-117.2504,92109
410,2934998,32.82321,-117.17928,92111
411,2951220,32.7496,-117.21896,92106
412,2956102,32.75211,-117.24799,92107
413,2956374,32.74969,-117.12928,92104
414,2959224,32.93119,-117.13926,92126
415,2989832,32.93272,-117.14097,92126
416,2996178,32.73365,-117.1722,92103
417,2997167,32.81741,-117.07828,92124
418,3006192,32.7773,-117.2526,92109
419,3006289,32.84011,-117.27467,92037
420,3016720,32.83799,-117.27542,92037
421,3028994,32.74121,-117.15979,92103
422,3039560,32.75012,-117.13219,92104
423,3049232,32.81923,-117.27313,92037
424,3053045,32.83509,-117.2759,92037
425,3068306,32.7487,-117.19272,2110
426,3069723,32.98264,-117.12923,92129
427,3080062,32.74348,-117.13309,92104
428,3083668,32.77911,-117.25198,92109
429,3091801,32.75129,-117.2294,92110
430,3092314,32.8083,-117.25785,92109
431,3093987,32.71022,-117.14506,92102
432,3095040,32.73785,-117.23972,92107
433,3096156,32.75466,-117.14939,92103
434,3096262,32.75525,-117.15076,92103
435,3096277,32.7552,-117.15151,92163
436,3133590,32.78291,-117.25227,92109
437,3137846,32.74548,-117.1754,92103
438,3138510,32.93064,-117.13951,92126
439,3153596,32.94812,-117.13955,92129
440,3166986,32.79128,-117.05548,92120
441,3175848,32.7882,-117.25431,92109
442,3177154,32.75061,-117.13342,92104
443,3183642,32.7634,-117.25251,92109
444,3192233,32.79647,-117.23658,92109
445,3198657,32.79456,-117.24281,92109
446,3220156,32.93077,-117.13941,92126
447,3231295,32.79585,-117.25596,92109
448,3241905,32.71249,-117.14254,92102
449,3248519,32.83318,-117.28171,92037
450,3251071,32.76714,-117.25182,92109
451,3251105,32.77359,-117.25267,92109
452,3251171,32.77348,-117.25199,92109
453,3251193,32.77247,-117.25164,92109
454,3256512,32.71148,-117.16628,92101
455,3270414,32.74591,-117.23615,92107
456,3301232,32.77988,-117.25241,92109
457,3303184,32.76416,-117.2515,92109
458,3303256,32.76416,-117.2515,92109
459,3310803,32.76416,-117.2515,92109
460,3310925,32.76416,-117.2515,92109
461,3339913,32.78031,-117.20508,92110
462,3342508,32.75843,-117.1583,92116
463,3364074,32.74498,-117.15328,92103
464,3371998,32.80078,-117.23202,92109
465,3372198,32.80242,-117.23292,92109
466,3376136,33.02981,-117.08512,92127
467,3386693,32.73864,-117.24686,92107
