id,name,host_id,host_name,neighbourhood_group,neighbourhood,latitude,longitude,room_type,price,minimum_nights,number_of_reviews,last_review,reviews_per_month,calculated_host_listings_count,availability_365,number_of_reviews_ltm,license
5570,Ocean front condo on the sand,8435,Jef Karchin,,Mission Bay,32.78481,-117.25313,Entire home/apt,2050,3,0,,,3,156,0,
29967,"Great home, 10 min walk to Beach",129123,Michael,,Pacific Beach,32.80751,-117.2576,Entire home/apt,234,4,72,2021-12-16,0.52,5,246,10,
38245,Point Loma: Den downstairs,164137,Melinda,,Roseville,32.74217,-117.21931,Private room,74,1,146,2021-08-15,1.06,3,347,3,
54001,"La Jolla Garden Cottage: Blks to Ocn; 2Bdms, 1Bth.",252692,Marsha,,La Jolla,32.81301,-117.26856,Entire home/apt,258,5,280,2021-11-26,2.10,2,34,37,
62274,"charming, colorful, close to beach",302986,Isabel,,Pacific Beach,32.80583,-117.24244,Entire home/apt,80,1,689,2021-12-05,5.12,2,322,68,
62949,Pacific Beach Cozy Private Hideaway Bikes Included,21532,Lisa,,Pacific Beach,32.80885,-117.23043,Entire home/apt,91,1,821,2021-12-13,7.23,2,68,107,
67441,Canyon apartment hideaway,332552,Peter,,College Area,32.76347,-117.07753,Entire home/apt,70,30,6,2021-11-04,0.08,6,287,3,
75668,San Diego Living by JA 2,401936,Johnathon,,North Hills,32.74699,-117.14243,Private room,45,2,195,2020-09-30,1.54,2,200,0,
77785,"1 bdrm, shared space Ideal-Short Term Work Assign",417659,Alicia,,Old Town,32.74827,-117.19059,Private room,75,32,17,2020-10-16,0.36,1,81,0,
79300,San Diego living by JA 1,401936,Johnathon,,North Hills,32.74715,-117.1428,Private room,50,2,159,2021-09-27,1.21,2,154,4,
103417,"La Jolla Retreat-Zen Lifestyle, More than a Room",252692,Marsha,,La Jolla,32.81321,-117.26853,Private room,103,5,229,2021-11-30,1.82,2,211,13,
103720,Gaslamp Room - Hillcrest House Bed & Breakfast,507423,Ann,,Midtown,32.74779,-117.1648,Entire home/apt,135,1,77,2021-11-21,0.61,8,342,12,
108349,Felspar Townhome- Beach Living by Boardwalk & Pier,546519,Juliana,,Pacific Beach,32.79783,-117.25416,Entire home/apt,263,6,159,2021-11-13,1.27,2,1,10,
126344,"Tourmaline House - Steps to Beach, Pet-Friendly",546519,Juliana,,Pacific Beach,32.80751,-117.25728,Entire home/apt,376,6,173,2021-12-06,1.40,2,197,15,
132966,Water View Studio in Pacific Beach!,555739,Rosana,,La Jolla,32.80934,-117.25913,Entire home/apt,79,31,30,2021-11-30,0.27,1,258,5,
149548,"Mission Bay Getaway, Near beaches! SUPER SANITIZED",721326,Olivia,,Bay Park,32.79993,-117.20067,Private room,76,3,209,2021-07-30,1.66,2,153,10,
165967,MIKE'S PLACE - A PRIVATE  COTTAGE,790976,Mike,,West University Heights,32.75314,-117.15142,Entire home/apt,125,3,617,2021-12-13,4.88,2,236,38,
167022,Room and shared bath in home near beach.,795905,Franz,,Pacific Beach,32.79644,-117.23409,Private room,69,2,226,2021-11-25,1.78,3,15,17,
167760,Traveler's Haven - Central to all!,799669,Mary,,Mira Mesa,32.91216,-117.12881,Private room,49,1,74,2021-12-18,0.58,2,2,2,
167804,"Mission Bay Retreat Studio, near Beaches, La Jolla",721326,Olivia,,Bay Park,32.80135,-117.20282,Private room,63,3,88,2021-11-13,0.77,2,144,18,
