MLS,Status,Rental Residential Styles,Address Number,Address Street,Zip,Bedrooms Total,Baths Full,Baths Half,Estimated Square Feet,Levels,Year Built,Listing Type,Price Reflects,DOMLS,List Price,Original Price,List Date Received,Rented Price,Close of Escrow Date
SDC0000300,Rented,Townhome,4030,Craven Rd,92057,3,2,1,1372,2 Story,2003,Exclusive Right (R),Monthly,19,3100,3100,02/15/2022,3100,03/06/2022
OC21266125,Active,Detached,231,Dun Blazer Way,92028,3,2,1,1753,2 Story,2018,Exclusive Right To Lease,,89,800,850,12/17/2021,,
220000209,Rented,Manufactured/Mobile Home,39204,Old Highway 80,91905,3,2,0,928,Other/Remarks,1997,Exclusive Right (R),Monthly,14,1200,1200,01/06/2022,1200,01/20/2022
220001640,Active,Twinhome,2768,Country Club,92004,2,1,0,1000,1 Story,1979,Exclusive Agency (A),Monthly,50,1350,1350,01/25/2022,,
NDP2200505,Active,Detached,14956,Lone Oak,92065,1,1,,720,1 Story,1977,Exclusive Right To Lease,,57,1395,1800,01/18/2022,,
220004715,Rented,All Other Attached,3532,Meade,92116,1,1,0,595,1 Story,1970,Exclusive Agency (A),Monthly,1,1495,1450,03/03/2022,1495,03/04/2022
220004116,Rented,Apartment,1646,Brookes,92103,1,1,0,550,1 Story,1940,Exclusive Right (R),Monthly,1,1495,1495,02/23/2022,1495,02/25/2022
PTP2201692,Active,All Other Attached,2470,Rancho Dr,92139,1,1,,720,1 Story,1947,Exclusive Right To Lease,,0,1500,1500,03/16/2022,,
220000123,Rented,All Other Attached,2311,National,92113,1,1,0,350,1 Story,1988,Exclusive Agency (A),Monthly,6,1500,1500,01/05/2022,1500,01/11/2022
210033254,Rented,All Other Attached,4860,Rolando,92115,1,1,0,573,1 Story,1973,Exclusive Agency (A),Monthly,7,1595,1595,12/13/2021,1595,12/20/2021
220002894,Rented,All Other Attached,6434,Caminito Estrellado,92120,1,1,0,380,3 Story,1975,Exclusive Right (R),Monthly,6,1650,1650,02/09/2022,1650,02/16/2022
220001524,Rented,Detached,3738,Bonita Canyon,91902,0,1,0,550,1 Story,1979,Exclusive Right (R),Monthly,3,1650,1650,01/24/2022,1650,01/27/2022
PTP2201679,Active,All Other Attached,9456,San Diego,91977,0,1,,400,1 Story,1981,Exclusive Right To Lease,,1,1695,1695,03/15/2022,,
210033220,Rented,Apartment,2922,Upshur,92106,1,1,0,400,1 Story,1951,Exclusive Right (R),Monthly,12,1695,1695,12/12/2021,1695,12/25/2021
NDP2202281,Active,All Other Attached,2552,Gregory,92008,0,1,0,300,1 Story,2019,Exclusive Right To Lease,,4,1700,1700,03/12/2022,,
PTP2201048,Active,Detached,15866,Lyons Valley Rd,91935,0,1,0,650,1 Story,1999,Exclusive Right To Lease,,29,1700,1700,02/15/2022,,
220004503,Rented,Detached,731,Island,92109,0,1,0,400,1 Story,1929,Exclusive Agency (A),Monthly,6,1750,1750,02/28/2022,1750,03/06/2022
220000419,Rented,Detached,731,Island,92109,0,1,0,450,1 Story,1929,Exclusive Agency (A),Monthly,6,1750,1750,01/08/2022,1750,01/14/2022
220002681,Rented,Apartment,4514,58th,92115,1,1,0,600,1 Story,1947,Exclusive Right (R),Monthly,5,1795,1795,02/07/2022,1795,02/15/2022
210033837,Rented,All Other Attached,5161,68th,92115,0,1,0,350,1 Story,1956,Exclusive Agency (A),Monthly,3,1795,1795,12/27/2021,1795,12/30/2021
220005883,Active,All Other Attached,5765,Friars,92110,1,2,0,854,1 Story,1980,Exclusive Right (R),Monthly,1,1800,1800,03/15/2022,,
220003480,Pending,Apartment,4470 1/2,49th,92115,2,1,0,850,2 Story,1962,Open Listing (O),Monthly,12,1800,1800,02/16/2022,,
220003110,Rented,Apartment,1925,Balboa,92014,1,1,0,423,1 Story,1951,Exclusive Right (R),Monthly,3,1800,1800,02/11/2022,1800,02/15/2022
220005333,Active,All Other Attached,732,Lexington,92021,2,2,0,935,1 Story,1978,Exclusive Right (R),Monthly,7,1850,1850,03/09/2022,,
220004442,Rented,All Other Attached,9580,Carroll,92126,1,1,0,604,1 Story,1977,Exclusive Right (R),Monthly,6,1850,1650,02/26/2022,1850,03/15/2022
220004616,Active,Apartment,3050,Rue D Orleans,92110,1,1,0,608,2 Story,1969,Exclusive Right (R),Monthly,15,1895,1895,03/01/2022,,
210033259,Rented,All Other Attached,13315,Caminito Ciera,92129,1,1,0,572,1 Story,1989,Exclusive Right (R),Monthly,4,1895,1895,12/13/2021,1895,12/22/2021
220002532,Active,All Other Attached,1823,Westminster,92007,0,1,0,200,1 Story,9999,Exclusive Agency (A),Monthly,40,1900,1900,02/04/2022,,
210033737,Rented,Detached,3757,La Posta Tk Tl,91962,2,1,0,950,1 Story,2005,Exclusive Agency (A),Monthly,52,1900,190,12/22/2021,1900,03/01/2022
210033754,Rented,All Other Attached,240,Lincoln,92026,2,2,0,873,1 Story,1978,Exclusive Right (R),Monthly,14,1900,2000,12/22/2021,1900,01/05/2022
220005266,Rented,Detached,4793,Cereza,92102,2,1,0,700,1 Story,1958,Exclusive Agency (A),Monthly,6,1925,1925,03/08/2022,1925,03/14/2022
PTP2200708,Pending,All Other Attached,7740,Margerum,92120,2,1,,812,1 Story,1975,Exclusive Right To Lease,,0,1950,1950,02/05/2022,,
220005226,Pending,Detached,4623,Kensington Dr (rear Cottage),92116,1,1,0,390,1 Story,1930,Exclusive Right (R),Monthly,6,1950,1950,03/08/2022,,
220004029,Rented,Twinhome,524,Glover,91910,2,1,0,730,1 Story,1950,Exclusive Right (R),Monthly,4,1950,1950,02/22/2022,1950,02/26/2022
210032928,Rented,Detached,259 1/2,F,92118,0,1,0,375,1 Story,1911,Exclusive Agency (A),Monthly,9,1900,1900,12/08/2021,1950,12/17/2021
210033335,Rented,All Other Attached,10369,Azuaga,92129,1,1,0,600,2 Story,1991,Exclusive Right (R),Monthly,17,1975,1975,12/14/2021,1975,01/02/2022
220001332,Rented,All Other Attached,241,50th,92102,3,2,0,795,1 Story,1987,Exclusive Right (R),Monthly,5,1990,1990,01/20/2022,1990,01/25/2022
210033339,Rented,All Other Attached,6457,Topmast- Adu,92011,1,1,0,600,2 Story,1999,Exclusive Right (R),Monthly,15,1995,1995,12/14/2021,1995,12/30/2021
220001536,Rented,Detached,2919,Meade,92116,1,1,0,554,1 Story,1938,Exclusive Right (R),Monthly,2,1997,1997,01/24/2022,1997,01/29/2022
220005942,Active,Detached,1643,6th,92101,0,1,0,400,1 Story,2004,Exclusive Right (R),Monthly,0,2000,2000,03/16/2022,,
220005734,Active,Apartment,1049,Carlsbad Village,92008,1,1,0,708,4 Story,2021,Exclusive Agency (A),Weekly,3,2000,2000,03/13/2022,,
PTP2201309,Active,All Other Attached,43,Oaklawn,91910,2,1,,1000,2 Story,1970,,,17,2000,2000,02/27/2022,,
220004566,Active,All Other Attached,,Millar,92020,2,1,0,850,2 Story,1969,Exclusive Right (R),Monthly,16,2000,2000,02/28/2022,,
220005733,Active,Apartment,1040,Carlsbad Village,92008,1,1,0,708,4 Story,2021,Exclusive Agency (A),Weekly,3,2000,2000,03/13/2022,,
